date;EWI US Equity;EWD US Equity;EWI US Equity_cp_precio;EWI US Equity_mp_precio;EWI US Equity_lp_precio;EWI US Equity_cp_mp;EWI US Equity_cp_lp;EWI US Equity_mp_lp;EWI US Equity_compare;EWD US Equity_cp_precio;EWD US Equity_mp_precio;EWD US Equity_lp_precio;EWD US Equity_cp_mp;EWD US Equity_cp_lp;EWD US Equity_mp_lp;EWD US Equity_compare;CLASS
2005-05-23;76.0663;31.3682;0.9874792497747729;1.0099477692486678;0.9472672129444972;0.9777527906313314;1.042450573904358;1.0661698784119567;0.9747286248969648;0.990442550098507;1.0021178135819102;0.9572623548689448;0.988349410293714;1.0346615481751655;1.0468580619354937;0.9965793383107733;0
2005-05-24;75.0594;31.4294;0.9997097536846049;1.0225447045939606;0.9610196924036164;0.9776685060254424;1.0402593844713217;1.0640205530403477;0.9918704386126189;0.9890359708698584;0.999435433065858;0.9564399415833594;0.9895946632949582;1.0340805814032998;1.0449536762458087;0.9868435286706077;1
2005-05-25;75.6696;31.506;0.9908703665106492;1.0133795341854581;0.9543175859261843;0.9777880182937565;1.038302532745417;1.06188919614423;0.9927421315825642;0.9877771580923357;0.9962957531898712;0.9551078524725463;0.9914497326017288;1.0342048340773415;1.0431238216822312;0.9878467593474259;1
2005-05-26;75.6696;31.4294;0.9909279476642054;1.0126133876748382;0.9554339721631937;0.978584679726162;1.0371495849374603;1.0598465379896267;0.9838719908655523;0.9908111513423731;0.9982073472608475;0.9585304682876555;0.9925905214595243;1.0336772633971507;1.0413934457858933;0.9800187085976825;1
2005-05-27;75.7917;31.6592;0.9892165915642092;1.0102655040063746;0.9550409741436067;0.9791649696454124;1.0357844515008876;1.0578242518990226;0.9794687281061119;0.9846905255254167;0.9904490321928566;0.9527297120584236;0.9941859636586341;1.0335465694650585;1.0395907880871464;0.9782274978521251;1
2005-05-31;74.14399999999999;31.2609;1.0103180490474126;1.0313750269745354;0.9772852422313338;0.9795835875637866;1.0338005787754028;1.0553469779403442;1.0082312796719897;0.9983214997466022;1.0026569292630758;0.965983704883738;0.9956760588891955;1.0334765428230037;1.0379646408049417;0.9990211414258706;1
2005-06-01;74.4492;31.0159;1.0056493939107845;1.026081408530917;0.974271684584925;0.9800873357120994;1.0322063237824957;1.0531779017759966;1.0020483766111656;1.0066307004748252;1.0101919338145948;0.9745931925238361;0.9964746963219929;1.0328726982670828;1.036526769901369;1.0059259927972428;0
2005-06-02;75.1204;31.1231;0.997070036900761;1.0163609884931382;0.9665911856166899;0.9810195867307167;1.0315323083198047;1.0514900235146412;0.99715656466153;1.004112700855634;1.0064762186286098;0.9722413898358468;0.9976516903934439;1.0327812736147433;1.0352122725391717;1.0006875921743015;0
2005-06-03;74.4492;30.8014;1.0067324910331945;1.0248273184936834;0.9762223502737436;0.98234353521422;1.031253270067926;1.049788829569729;0.996721254224357;1.0145999857149344;1.016620153629383;0.9832900127916278;0.99801285867958;1.0318420532253914;1.033896551784482;1.004477069224126;0
2005-06-06;74.2356;30.9699;1.0093649716000708;1.0269787271874942;0.979966390788247;0.9828489577036705;1.0299995806878404;1.047973417089776;1.0123296639348236;1.0091503593581412;1.0107526340091535;0.9788886467182666;0.9984147707390513;1.0309143565423171;1.0325511868972137;0.9841749569743525;1
